Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
59,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,Xbox One
60,Rocket League,2016,Sports,505 Games,0.52,0.75,0,0.11,1.38,Xbox One
61,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38,Xbox One
62,Titanfall 2,2016,Shooter,Electronic Arts,0.88,0.37,0,0.13,1.37,Xbox One
63,Watch Dogs 2,2016,Action,Ubisoft,0.71,0.53,0,0.12,1.35,Xbox One
64,FIFA Soccer 14,2013,Sports,EA Sports,0.44,0.78,0,0.1,1.31,Xbox One
65,Destiny: The Taken King,2015,Shooter,Activision,0.91,0.23,0,0.12,1.27,Xbox One
66,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,Xbox One
67,Sunset Overdrive,2014,Action,Microsoft Studios,0.64,0.42,0,0.1,1.16,Xbox One
68,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0,0.11,1.15,Xbox One
69,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0,0.1,1.15,Xbox One
70,Final Fantasy XV,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,Xbox One
71,Mafia III,2016,Action-Adventure,2K Games,0.54,0.48,0,0.09,1.11,Xbox One
72,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04,Xbox One
73,Just Cause 3,2015,Action-Adventure,Square Enix,0.52,0.41,0,0.09,1.01,Xbox One
74,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.51,0.41,0,0.09,1,Xbox One
75,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,0.63,0.27,0,0.09,0.99,Xbox One
76,Sea of Thieves,2018,Action-Adventure,Microsoft Studios,0.6,0.27,0,0.09,0.96,Xbox One
77,NBA 2K14,2013,Sports,2K Sports,0.72,0.12,0,0.09,0.94,Xbox One
78,Monster Hunter: World,2018,Action,Capcom,0.67,0.17,0,0.09,0.93,Xbox One
79,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89,Xbox One
80,Resident Evil VII: Biohazard,2017,Action,Capcom,0.51,0.3,0,0.08,0.89,Xbox One
81,For Honor,2017,Action,Ubisoft,0.57,0.21,0,0.08,0.87,Xbox One
82,Dishonored 2,2016,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86,Xbox One
83,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.47,0.32,0,0.08,0.86,Xbox One
84,Madden NFL 25,2013,Sports,EA Sports,0.69,0.06,0,0.09,0.83,Xbox One
85,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,Xbox One
86,Guitar Hero Live,2015,Music,Activision,0.52,0.23,0,0.08,0.83,Xbox One
87,Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79,Xbox One
88,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0,0.07,0.78,Xbox One
89,Rare Replay,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,Xbox One
90,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.5,0.2,0,0.07,0.78,Xbox One
91,Minecraft: Story Mode,2015,Adventure,Mojang,0.46,0.24,0,0.07,0.77,Xbox One
92,Fortnite,2017,Action,Gearbox Software,0.6,0.09,0,0.08,0.77,Xbox One
93,Quantum Break,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,Xbox One
94,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.39,0.3,0,0.06,0.75,Xbox One
95,Rock Band 4,2015,Music,Harmonix Music Systems,0.62,0.05,0,0.08,0.75,Xbox One
96,Need for Speed (2015),2015,Racing,Electronic Arts,0.35,0.33,0,0.06,0.74,Xbox One
97,The Sims 4,2017,Simulation,Electronic Arts,0.42,0.24,0,0.07,0.73,Xbox One
98,Need for Speed: Payback,2017,Racing,Electronic Arts,0.42,0.24,0,0.07,0.73,Xbox One
99,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0,0.06,0.73,Xbox One
100,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72,Xbox One
101,The Crew,2014,Racing,Ubisoft,0.32,0.34,0,0.06,0.71,Xbox One
102,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71,Xbox One
103,Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7,Xbox One
104,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7,Xbox One
105,The Evil Within,2014,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69,Xbox One
106,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69,Xbox One
107,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.49,0.13,0,0.07,0.68,Xbox One
108,Evolve,2015,Shooter,2K Games,0.4,0.2,0,0.06,0.67,Xbox One
109,WWE 2K18,2017,Sports,2K Sports,0.35,0.25,0,0.06,0.66,Xbox One
110,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66,Xbox One
111,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65,Xbox One
112,WWE 2K16,2015,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63,Xbox One
113,Kinect Sports Rivals,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,Xbox One
114,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62,Xbox One
115,WWE 2K15,2014,Sports,2K Sports,0.32,0.23,0,0.05,0.61,Xbox One
116,EA Sports UFC 2,2016,Sports,EA Sports,0.36,0.19,0,0.06,0.61,Xbox One
117,NHL 17,2016,Sports,EA Sports,0.52,0.01,0,0.06,0.6,Xbox One
118,Tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58,Xbox One
119,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57,Xbox One
120,WWE 2K17,2016,Sports,2K Games,0.26,0.26,0,0.05,0.57,Xbox One
121,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55,Xbox One
122,Just Dance 2015,2014,Music,Ubisoft,0.36,0.13,0,0.05,0.54,Xbox One
123,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.38,0.09,0,0.05,0.52,Xbox One
124,Alien: Isolation,2014,Adventure,Sega,0.23,0.25,0,0.04,0.52,Xbox One
125,Halo Wars 2,2017,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51,Xbox One
126,NHL 16,2015,Sports,EA Sports,0.41,0.05,0,0.05,0.51,Xbox One
127,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5,Xbox One
128,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5,Xbox One
129,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48,Xbox One
130,Zoo Tycoon (2013),2013,Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48,Xbox One
131,Steep,2016,Sports,Ubisoft,0.24,0.2,0,0.04,0.48,Xbox One
132,Thief 4,2014,Action,Square Enix,0.26,0.17,0,0.04,0.48,Xbox One
133,Just Dance 2014,2013,Music,Ubisoft,0.31,0.12,0,0.04,0.48,Xbox One
134,EA Sports UFC,2014,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48,Xbox One
135,BioShock The Collection,2016,Shooter,2K Games,0.35,0.08,0,0.05,0.48,Xbox One
136,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47,Xbox One
137,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0,0.04,0.46,Xbox One
138,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.3,0.12,0,0.04,0.46,Xbox One
139,Prey (2017),2017,Shooter,Bethesda Softworks,0.21,0.2,0,0.04,0.45,Xbox One
140,Skylanders: Trap Team,2014,Platform,Activision,0.34,0.07,0,0.04,0.45,Xbox One
141,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0,0.04,0.44,Xbox One
142,EA Sports UFC 3,2018,Sports,EA Sports,0.3,0.1,0,0.04,0.44,Xbox One
143,Rocksmith 2014,2014,Music,Ubisoft,0.31,0.08,0,0.04,0.43,Xbox One
144,Sniper Elite 3,2014,Shooter,505 Games,0.27,0.12,0,0.04,0.43,Xbox One
145,Hello Neighbor,2017,Action,Gearbox Software,0.27,0.11,0,0.04,0.42,Xbox One
146,NHL 15,2014,Sports,EA Sports,0.32,0.06,0,0.04,0.42,Xbox One
147,Project CARS,2015,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41,Xbox One
148,Destiny: The Collection,2016,Shooter,Activision,0.25,0.12,0,0.04,0.41,Xbox One
149,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4,Xbox One
150,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.11,0,0.04,0.39,Xbox One
151,NHL 18,2017,Sports,EA Sports,0.32,0.03,0,0.04,0.39,Xbox One
152,The Evil Within II,2017,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39,Xbox One
153,Rayman Legends,2014,Platform,Ubisoft,0.13,0.22,0,0.03,0.38,Xbox One
154,Just Dance 2016,2015,Music,Ubisoft,0.3,0.04,0,0.04,0.38,Xbox One
155,Skylanders SWAP Force,2013,Misc,Activision,0.25,0.07,0,0.03,0.35,Xbox One
156,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.25,0.07,0,0.03,0.35,Xbox One
157,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.21,0.11,0,0.03,0.35,Xbox One
158,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.26,0.05,0,0.03,0.34,Xbox One
159,Just Dance 2017,2016,Music,Ubisoft,0.25,0.05,0,0.03,0.34,Xbox One
160,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0,0.03,0.33,Xbox One
161,The Crew 2,2018,Racing,Ubisoft,0.2,0.1,0,0.03,0.33,Xbox One
162,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.11,0,0.03,0.33,Xbox One
163,METRO 2033,2014,Shooter,Deep Silver,0.15,0.14,0,0.03,0.31,Xbox One
164,Hitman (2016),2017,Action,Square Enix,0.2,0.08,0,0.03,0.31,Xbox One
165,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0,0.03,0.3,Xbox One
166,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.2,0.07,0,0.03,0.3,Xbox One
167,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.18,0.09,0,0.03,0.3,Xbox One
168,Sonic Forces,2017,Platform,Sega,0.15,0.11,0,0.03,0.29,Xbox One
169,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0,0.03,0.28,Xbox One
170,Battleborn,2016,Shooter,2K Games,0.2,0.05,0,0.03,0.28,Xbox One
171,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.16,0.09,0,0.02,0.28,Xbox One
172,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.13,0.12,0,0.02,0.27,Xbox One
173,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0,0.02,0.27,Xbox One
174,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0,0.02,0.27,Xbox One
175,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.17,0.08,0,0.02,0.27,Xbox One
176,Skylanders Imaginators,2016,Platform,Activision,0.19,0.05,0,0.03,0.27,Xbox One
177,Friday the 13th: The Game,2017,Action,Gun Media,0.21,0.03,0,0.03,0.27,Xbox One
178,ReCore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,Xbox One
179,F1 2015,2015,Racing,Codemasters,0.09,0.15,0,0.02,0.25,Xbox One
180,L.A. Noire,2017,Adventure,Rockstar Games,0.14,0.09,0,0.02,0.25,Xbox One
181,Trials Fusion,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.25,Xbox One
182,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.16,0.06,0,0.02,0.24,Xbox One
183,Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.24,Xbox One
184,Saints Row IV,2015,Action,Deep Silver,0.13,0.09,0,0.02,0.24,Xbox One
185,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0,0.02,0.24,Xbox One
186,A Way Out,2018,Action,Electronic Arts,0.17,0.05,0,0.02,0.24,Xbox One
187,NBA Live 14,2013,Sports,EA Sports,0.19,0.02,0,0.02,0.24,Xbox One
188,Payday 2,2015,Shooter,505 Games,0.14,0.07,0,0.02,0.23,Xbox One
189,DiRT 4,2017,Racing,Codemasters,0.11,0.1,0,0.02,0.23,Xbox One
190,NBA Live 15,2014,Sports,Electronic Arts,0.18,0.02,0,0.02,0.22,Xbox One
191,F1 2016 (Codemasters),2016,Racing,Codemasters,0.09,0.12,0,0.02,0.22,Xbox One
192,Deadpool,2015,Action,Activision,0.17,0.03,0,0.02,0.22,Xbox One
193,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0,0.02,0.22,Xbox One
194,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0,0.02,0.22,Xbox One
195,Lords of the Fallen,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22,Xbox One
196,Super Lucky's Tale,2017,Platform,Microsoft Studios,0.13,0.07,0,0.02,0.22,Xbox One
197,DiRT Rally,2016,Racing,Codemasters,0.12,0.08,0,0.02,0.21,Xbox One
198,Just Dance 2018,2017,Music,Ubisoft,0.15,0.04,0,0.02,0.21,Xbox One
199,Homefront: The Revolution,2016,Shooter,Deep Silver,0.1,0.09,0,0.02,0.21,Xbox One
200,State of Decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0,0.02,0.21,Xbox One
201,NBA Live 18,2017,Sports,EA Sports,0.18,0,0,0.02,0.21,Xbox One
202,theHunter: Call of the Wild,2017,Shooter,Astragon,0.18,0,0,0.02,0.21,Xbox One
203,Sleeping Dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0,0.02,0.2,Xbox One
204,Project CARS 2,2017,Racing,Namco Bandai Games,0.01,0.18,0,0.01,0.2,Xbox One
205,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0,0.02,0.2,Xbox One
206,Dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19,Xbox One
207,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0,0.02,0.19,Xbox One
208,Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0,0.02,0.19,Xbox One
209,Mirror's Edge 2,2016,Platform,Electronic Arts,0.11,0.06,0,0.02,0.19,Xbox One
210,Dance Central: Spotlight,N/A,Music,,0.15,0.03,0,0,0.19,Xbox One
211,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.17,0,0,0.02,0.19,Xbox One
212,XCOM 2,2016,Strategy,2K Games,0.15,0.02,0,0.02,0.19,Xbox One
213,F1 2017,2017,Racing,Koch Media,0.04,0.13,0,0.01,0.19,Xbox One
214,Shape Up,2014,Sports,Ubisoft,0.08,0.09,0,0.01,0.18,Xbox One
215,Cities: Skylines,2017,Simulation,Deep Silver,0.13,0.03,0,0.02,0.18,Xbox One
216,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.11,0.05,0,0.02,0.18,Xbox One
217,Project Spark (Working Title),2014,Misc,Microsoft Studios,0.11,0.05,0,0.02,0.17,Xbox One
218,Rush: A Disney Pixar Adventure,2017,Adventure,Microsoft Studios,0.15,0,0,0.02,0.17,Xbox One
219,Fighter Within,2013,Fighting,Ubisoft,0.08,0.07,0,0.01,0.17,Xbox One
220,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.08,0.07,0,0.01,0.17,Xbox One
221,Pac-Man Championship Edition 2 + Arcade Game Series,2016,Action,Namco Bandai Games,0.15,0,0,0.02,0.16,Xbox One
222,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.04,0,0.02,0.16,Xbox One
223,Little Nightmares,2017,Platform,Namco Bandai Games,0.12,0.03,0,0.02,0.16,Xbox One
224,The Walking Dead: Season One,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16,Xbox One
225,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.07,0.07,0,0.01,0.15,Xbox One
226,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.04,0.1,0,0.01,0.15,Xbox One
227,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.1,0.03,0,0.01,0.15,Xbox One
228,The Escapists 2,2017,Action,Sold Out,0.05,0.08,0,0.01,0.15,Xbox One
229,Transformers: Devastation,2015,Action,Activision,0.1,0.04,0,0.01,0.15,Xbox One
230,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.02,0,0.01,0.15,Xbox One
231,DmC: Devil May Cry,2015,Action,Capcom,0.09,0.04,0,0.01,0.15,Xbox One
232,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.06,0.07,0,0.01,0.15,Xbox One
233,Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.02,0,0.01,0.14,Xbox One
234,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.11,0.02,0,0.01,0.14,Xbox One
235,The Walking Dead: Season Two,2014,Misc,Telltale Games,0.08,0.05,0,0.01,0.14,Xbox One
236,Resident Evil: Revelations 2,2015,Action,Capcom,0.1,0.02,0,0.01,0.14,Xbox One
237,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.07,0.06,0,0.01,0.14,Xbox One
238,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.12,0,0,0.01,0.14,Xbox One
239,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.09,0.03,0,0.01,0.14,Xbox One
240,Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13,Xbox One
241,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.12,0,0,0.01,0.13,Xbox One
242,Song of the Deep,2016,Action,Insomniac Games,0.12,0,0,0.01,0.13,Xbox One
243,NBA Live 16,2015,Sports,EA Sports,0.11,0.01,0,0.01,0.13,Xbox One
244,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01,0.13,Xbox One
245,Sonic Mania,2017,Platform,Sega,0.09,0.03,0,0.01,0.13,Xbox One
246,Dead by Daylight,2017,Action,505 Games,0.08,0.03,0,0.01,0.12,Xbox One
247,Darksiders III,2018,Action,THQ Nordic,0.11,0,0,0.01,0.12,Xbox One
248,Vampyr,2018,Role-Playing,Focus Home Interactive,0.07,0.04,0,0.01,0.12,Xbox One
249,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.12,Xbox One
250,NASCAR Heat 2,2017,Racing,505 Games,0.11,0,0,0.01,0.12,Xbox One
251,Life is Strange,2016,Adventure,Square Enix,0.08,0.03,0,0.01,0.12,Xbox One
252,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.11,0,0,0.01,0.12,Xbox One
253,The Surge,2017,Action,Koch Media,0.07,0.04,0,0.01,0.12,Xbox One
254,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.11,0,0,0.01,0.12,Xbox One
255,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0,0.01,0.12,Xbox One
256,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0,0.01,0.12,Xbox One
257,7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0,0.01,0.12,Xbox One
258,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.12,Xbox One
259,Prototype: Biohazard Bundle,2016,Action,Activision,0.1,0,0,0.01,0.11,Xbox One
260,Ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0,0.01,0.11,Xbox One
261,Agents of Mayhem,2017,Action,Deep Silver,0.07,0.03,0,0.01,0.11,Xbox One
262,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,Xbox One
263,Killer Instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0,0.01,0.11,Xbox One
